prompt,generated_text,language
Men det var,"Men det var ikke bare det at han hadde mistet begge for tennene, det var noe helt annet at hele tanngarden hans var blitt borte - den og! Han hogg tia og var glad til. - Jøss så du skremte meg, da. sa han. Je trudde du ville myrde meg! - Ja, det var nær på at jeg skulle gjort det og, sa Sørine og smalt i å 1 1; Hun ble brått så glad og lett og kjensla fra den første natten under heggen la seg over henne igjen. Han hadde kanskje ikke forstått noe. han heller, slik en dust som han var. Nei, så bitterdø, om dette skulle væ re forgjeves likevel. En skulle aldri gi opp. Hun kastet seg inn til ham med et kvalt skrik og nå tok de hverandre i eie og sansen og all ting kom på plass slik som det skulle. - Stakkar, je trodde du ville drepa me, stønnet Tore og torde ikke slippe henne. Nei, det var",nno
Det var ein,"Det var ein del uklarheitar rundt den såkalla «Øygarden-målet» i tidlegare Lindås, og «Øygardenmålet» i den tidlegare kommunen. Det var også slik at dei to «målvariantane» gjekk noko over i kvarandre. I samband med folkeavstemmninga om K6 (samanslåing Lindås, Meland, Radøy, Austrheim og Fedje) vart nynorskforkjemparane i Meland veldig klar på at om den nye storkomminunen ikkje skulle bli dominert av bokmålet, så skulle dei ha si eiga målform (nynorsk). Dermed oppstod «den tredje målforma» i Lindås kommune etter at K6 ikkje vart noko av: Det to-delte Øygardenmålet. Dette er eit mål som ligg nær opp mot det tradisjonlege Melandsmålet og Austrheimsmålet, men har nokre trekk (adjektiv-s-ending og nokre andre trekk) frå Lindås-målet. Den er dermed ei mål",nno
Det var så,"Det var så mye som skulle vært gjort før den store dagen vår. Og som jeg gledet meg til å se gjestene mine som jeg har skrevet om her.
Det var ikke gjort i en håndvending å forberede en stor fest, så vi dro på ferie litt tidligere enn planlagt.
Det var deilig å få noen uker for seg selv før festen. Vi spiste og sov i hver vår sofa foran tvn med katten som selskap mens vi så frem til å få besøk. Det var godt å komme i orden hjemme før alt gjestene våre skulle ta med seg. Jeg vil jo være sikker på at jeg har kaffetrakteren min klar. Når det skal feires, skal alt være klart.
Dagen før dagen oppdaget jeg at jeg hadde mistet stemmen. Var det sånn at stemmen ble borte når man fylte femti? Det ville jo vært noe det å. Jeg begynte å snakke veldig sakte, i tilfelle stemmen var borte for alltid. Den kan jo komme tilbake i løpet av natten, men jeg tror ikke på det før jeg hører",nno
Ja det var,"Ja det var en rigtig god og sjov tur du var med til :0) Så mange skønne billeder – og det billede hvor du står i båden – ja der har manden fundet dig :0) Hils ham fra Gitte når i ses :0)Knus
Så er der kun 11 dage til der er dømt ferie, men indtil videre fortsætter dagene i samme takt som de plejer.
Vores ene vvs blev syg og er først startet i denne uge, så efter et forsøg mandag uden det store held – ringede vi til et andet vvs firma som heller ikke kunne hjælpe. I denne omgang var det dog lidt sent, i form af torsdag, da det skulle ske nu. Så det bliver først en gang i næste uge – når der er kommet en rørmontør. Dertil kommer så alle de andre håndværkere der skal være med til at sætte køkkenet op. Men mon ikke det hele giver mening inden vi er helt færdige. I hvert fald i hovedet.
Vores håndvask går i stykker i forbindelse med",nno
Ja det er,"Ja det er mye som er forandret siden den gang. Nå om dagen er det en av mine sønner som bor nede i kjellerhybelen som ble bygd til min mann og meg for ca 11 år siden. Min mann døde i 2002 og jeg bor nå oppe i andre etasje.
Jeg har i dag hatt en lang og hyggelig prat med en av barna til han som bygde huset til oss. Han er født og oppvokst i andre etasje hos oss, men da det ble innredet hybel i underetasjen så flyttet familien opp i andre etasje. Den nye naboen med sitt barnebarn flyttet over hos oss, så da har vi to naboer som har bodd hos oss. Og jeg kan minnes alle som har bodd der i min mann og min tid.
da mannen min jobbet på verftet og hadde turnus med fire uker på jobb og fire uker fri. Jeg var hjemmeværende med barna og hadde ikke noe ansvar uten om det jeg ordnet hjemme for familien. Slik var det helt til barna begynte på skolen, først med skole annen hver dag. Og det",nno
Så var det,"Så var det dags! Äntligen! – Enligt Min Humla
Skip to content
Enligt Min Humla
Inget är för stort eller för litet för min slägga
open primary menu
twitter
facebook
google-plus
joshua_tree
Kontakt
om bloggen
Sidebar
Arkiv
Arkiv Välj månad april 2013 mars 2013 februari 2013 oktober 2012 september 2012 juli 2012 maj 2012 april 2012 mars 2012 februari 2012 januari 2012 december 2011 november 2011 oktober 2011 september 2011 augusti 2011 juli 2011 juni 2011 maj 2011 april 2011 mars 2011 februari 2011 januari 2011 december 2010 november 2010 oktober 2010 september 2010 augusti 2010 juli 2010 juni 2010 maj 2010 april 2010 mars 2010 februari 2010 januari 2010 december 2009 november 2009 oktober 2009 september 2009
Categories
Aggro
Avslöjande
Debatt
Demokrati
Domedag
Ekonomi
EU
Existens
Film
Förnuft
Försvar
Fråga
Hälsa
Hat
Hela bloggen
Historia
Hjälte
Humor
Icke förnuft
Internationell
Islam
Kriminal
K",nno
Det var som,"Det var som vanlig mange som deltok på skikarusel len i lysløypa på Kvinlog tirsdag kveld. Skikarusellen er et samarbeid mellom Fjotland IL, Knaben og Fjotland IL og Kvinesdal IL, og arrange res på fire steder i hele Kvinesdal. På Kvinlog var det en litt kald og isete kveld med måneskinn. Heldigvis for barna var det en kort kuldeperiode, slik at alle fikk gått et renn. Men kulden bet nok mer for foreldrene. Det var også noe glatt i løypa, men det var bare smil å se til tross for kulden. I alt var det 31 deltakere. Disse deltok: Irene Ovedal (under 7 år), Lewi Ovedal, Ole Asbjørn Ovedal og Andreas Martin Netland. I tillegg gikk Daniel Vinning land og Sander Vinningland på tid. På grunn av månen var det mange foreldre som tok turen til Kvinlog for å se på arrangementet denne gangen.",nno
Det er ikkje,"Det er ikkje alltid like godt a veta kva ein skal tru. Eit ord som ctru», Øog som eg personleg set svært hogt. skulle helst ikkje nyttast — i dei saker ein er usamd i, sa som sporsmalet om norsk medlem skap i EF. Eit anna ord for tillit, t.d. eller tiltru, ville vore meir hoveleg i dette hovet — som det vel Øog er i langt dei fleste hove, men ofte vantar vi slike ord som det var bruk for. Dette til trøyst for dei som har fått trua på styraren av Noreg rikka, eller ikkje er tilliteen verdig. Det er vanskeleg å finna eit ord for dei soklalaie «negative verdiar i EF. som skal vera påviselege. Den ne sokalla negativismen må ikkje få gro. men heller fa grotid for positive verdiar pa alle område. Her vert då for det fyrste den negative omtalen a v EF Øog den mis tillit ein dermed",nno
Kor mange prosent,"Kor mange prosent av dei som står i telefonkatalogen har reservert seg mot å stå der? A. Berre dei som ikkje har tele fon. B. 80-90 prosent av alle norske telefonabonnentar. C. Berre de? som har telefon. ★ Ennå en gang så han bortover mot nabogården, hvor flagget vaiet friskt i vinden. Han ble glad over å se det, og tenkte at det nok måtte være noen som var død. Hans kone spurte hva han tenkte på. Han så bortover mot nabo gården og sa litt trist: - Jo, nå er det nok en som er død! - Ja, er ikke du det, da? spurte kona. ★ Under et voldsomt uvær midt på sommeren såtte et lite barn som hadde sittet under en trapp i hagen, i et voldsomt hyl. Moren spurte om det var noe i veien. - Ja, det er fryktelig med det te været, sa gutten. Ja, du kan så si, svarte moren - jeg ser en kråke som ligger",nno
Det er veldig,"Det er veldig fint at du tar opp dette. Det er synd at det har blitt så akseptert å ikke ta i mot hjelp for å bli kvitt depresjon, spiseforstyrrelser, ADHD eller andre problemer. Det er ikke alltid sånn at det hjelper å tenke positivt hvis man har en sykdom. Da må det gjerne medisiner til eller terapi for å få bukt med depresjon eller andre psykiske sykdommer.
Det er flott at du tar opp dette på et allmøte. Det kan hjelpe flere, og forhåpentligvis kan det bidra til mer åpenhet rundt slike problemer. Jeg er helt sikker på at din åpenhet på allmøtet kan bidra til at flere vil søke hjelp, for mange holder slike ting hemmelig for andre. Noen ganger er det lurt å søke hjelp, for ofte ligger det en dypere årsak bak hvis man har det vanskelig. Sorgen er aldri ferdig med det som skjer, livet går vidre og det kan være vanskelig å akseptere at ting endrer seg. Noen ganger kan dette behovet for å ha det vanskelig være en sykdom, og da er det viktig å få hjelp til å bearbeide dette",nno
