tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu,compression_ratio,pos_compression_ratio,3_gram_diversity_score,4_gram_diversity_score
"[ , Og, i, et, kort, ,, flyktig, øyeblikk, ,, et, lite, streif, av, tid, som, hang, i, luften, som, ildfluer, i, sommerskyer, ,, lurte, hun, på, om, hun, hadde, forelsket, seg, i, ham, på, ny, ., 
, Ute, fra, kjøkkenet, hørtes, et, lite, pling, fra, varseluret, ,, og, Noah, snudde, seg, og, brøt, fortryllelsen, ,, forunderlig, beveget, av, det, som, nettopp, var, skjedd, mellom, dem, ., Øynene, hennes, hadde, snakket, til, ham, og, hvisket, noe, han, lengtet, etter, å, høre, ;, likevel, kunne, han, ikke, stanse, stemmen, i, hodet, ,, hennes, stemme, ,, som, hadde, fortalt, ham, at, hun, elsket, en, annen, ., Han, forbannet, taust, varseluret, mens, han, gikk, ut, på, kjøkkenet, og, tok, brødet, ut, av, ovnen, ., Han, brente, seg, nesten, på, fingrene, ,, slapp, brødet, ned, på, kjøkkenbenken, og, så, at, stekepannen, var, klar, ., Han, la, grønnsakene, i, og, hørte, at, de, begynte, å, frese, ., Mumlende, for, seg, seiv, tok, han, smør, ut, av, kjøleskapet, ,, smurte, noe, på, brødet, og]",SPACE CCONJ ADP DET NOUN PUNCT ADJ NOUN PUNCT DET ADJ NOUN ADP NOUN PRON VERB ADP NOUN SCONJ NOUN ADP NOUN PUNCT VERB PRON SCONJ SCONJ PRON AUX VERB PRON ADP PRON ADP ADJ PUNCT SPACE ADP ADP NOUN VERB DET ADJ NOUN ADP NOUN PUNCT CCONJ PROPN VERB PRON CCONJ VERB NOUN PUNCT ADJ ADJ ADP PRON PRON ADV AUX VERB ADP PRON PUNCT NOUN PRON AUX VERB ADP PRON CCONJ VERB PRON PRON VERB SCONJ PART VERB PUNCT ADV AUX PRON PART VERB NOUN ADP NOUN PUNCT PRON NOUN PUNCT PRON AUX VERB PRON SCONJ PRON VERB DET DET PUNCT PRON VERB ADJ NOUN SCONJ PRON VERB ADP ADP NOUN CCONJ VERB NOUN ADP ADP NOUN PUNCT PRON VERB PRON ADV ADP NOUN PUNCT VERB NOUN ADP ADP NOUN CCONJ VERB SCONJ NOUN AUX ADJ PUNCT PRON VERB NOUN ADP CCONJ VERB SCONJ PRON VERB PART VERB PUNCT ADJ ADP PRON NOUN VERB PRON NOUN ADP ADP NOUN PUNCT VERB PRON ADP NOUN CCONJ,0.041666666666666664,0.37606258148631083,167,816,0.5748502994011976,0.033645833777139054,1.667,3.271,2.637,3.637
"[ , De, finner, vel, ut, av, dette, ,, », sa, bestemoren, ., «, Ole, må, ha, vært, drukken, da, han, fant, på, dette, tøvet, ., Ingen, mann, ved, sine, fulle, fem, ville, gjøre, noe, slikt, ., 
, Andrine, så, alvorlig, på, henne, ., «, Jeg, ble, så, redd, at, jeg, var, sikker, på, at, jeg, skulle, dø, ., Jeg, kommer, aldri, til, å, tilgi, ham, dette, ., 
, «, Nei, ,, det, forstår, jeg, ,, kjære, ., Det, kan, ikke, være, lett, for, Sofie, og, Herman, ,, dette, ., Han, er, tross, alt, den, eneste, sønnen, de, har, igjen, ., 
, Andrine, orket, ikke, tale, mer, om, Ole, og, det, som, hadde, hendt, ,, så, hun, penset, heller, samtalen, over, på, Stina, igjen, ., Kusinens, tilstand, bekymret, henne, mer, enn, noe, annet, ., 
, «, Det, blir, ingen, begravelse, ,, », sukket, bestemoren, ., «, Stina, orker, ikke, ,, så, da, sender, jeg, bud, til, presten, om, at, han, må, sørge, for, at, barnet, kommer, i, jorden, ., Det, er, hun, som, bestemmer, ,, og, jeg, vil, ikke, presse, henne, til, å, gå, igjennom, nok, en, stor, påkjenning, nå, ., 
, Det, overrasket, ikke, Andrine, ., Å, se]",SPACE PRON VERB ADV ADP ADP PRON PUNCT PUNCT VERB NOUN PUNCT PUNCT PROPN AUX AUX AUX NOUN SCONJ PRON VERB ADP DET NOUN PUNCT DET NOUN ADP PRON ADJ NUM AUX VERB DET PRON PUNCT SPACE PROPN ADV ADJ ADP PRON PUNCT PUNCT PRON VERB ADV ADJ SCONJ PRON AUX ADJ SCONJ SCONJ PRON AUX VERB PUNCT PRON VERB ADV SCONJ PART VERB PRON PRON PUNCT SPACE PUNCT INTJ PUNCT PRON VERB PRON PUNCT ADJ PUNCT PRON AUX PART AUX ADJ ADP PROPN CCONJ PROPN PUNCT PRON PUNCT PRON AUX ADP PRON DET NUM NOUN PRON VERB ADV PUNCT SPACE PROPN VERB PART VERB ADJ ADP PROPN CCONJ PRON PRON AUX VERB PUNCT CCONJ PRON VERB ADV NOUN ADP ADP PROPN ADV PUNCT NOUN NOUN VERB PRON ADJ ADP DET DET PUNCT SPACE PUNCT PRON VERB DET NOUN PUNCT PUNCT VERB NOUN PUNCT PUNCT PROPN VERB PART PUNCT CCONJ ADV VERB PRON NOUN ADP NOUN SCONJ SCONJ PRON AUX VERB SCONJ SCONJ NOUN VERB ADP NOUN PUNCT PRON AUX PRON PRON VERB PUNCT CCONJ PRON AUX PART VERB PRON SCONJ PART VERB ADP ADV DET ADJ NOUN ADV PUNCT SPACE PRON VERB PART PROPN PUNCT PART VERB,0.047058823529411764,0.39817727840199774,198,850,0.5909090909090909,0.21064273933926092,1.612,3.389,2.766,3.766
"[ , Jeg, håper, du, unnskylder, meg, ,, Josef, ., Jeg, visste, ikke, hvilken, dag, det, var, ., Hvis, du, vil, ,, kan, vi, fort, laste, på, varene, ., 
, -, Tuller, du, ?, Klokka, er, to, på, ettermiddagen, ., Jeg, er, ikke, kommet, for, å, laste, ,, men, for, å, høre, om, du, fremdeles, er, interessert, i, at, jeg, selger, varene, dine, ., Hvis, ikke, ,, må, du, si, fra, ., For, meg, er, det, det, samme, ., Jeg, gjør, det, for, å, gjøre, deg, en, tjeneste, ., 
, -, Selvfølgelig, ,, Josef, ., Jeg, glemte, ganske, enkelt, at, det, var, markedsdag, ., 
, -, Det, er, ikke, bare, i, dag, du, glemte, det, ., Du, glemte, det, i, forrige, uke, ,, og, uka, før, der, igjen, ., 
, -, Tre, uker, ?, Det, var, jeg, ikke, klar, over, ., 
, -, Det, går, ikke, rundt, for, deg, vel, ?, Hva, har, du, gjort, med, grønnsakene, og, frukten, din, disse, tre, ukene, ?, 
, Josef, går, til, kjøkkenhagen, bak, huset, ,, og, Lukas, følger, etter, han, ., Grønnsakshandleren, bøyer, seg, over, rekkene, av, planter, og, banner, :, 
, -, For, helvete, !, Du, har, latt, alt, råtne, !, Tomatene, ligger, jo, på, bakken, ,, disse, er]",SPACE PRON VERB PRON VERB PRON PUNCT PROPN PUNCT PRON VERB PART DET NOUN PRON VERB PUNCT SCONJ PRON VERB PUNCT AUX PRON ADJ VERB ADP NOUN PUNCT SPACE PUNCT VERB PRON PUNCT NOUN AUX NUM ADP NOUN PUNCT PRON AUX PART VERB SCONJ PART VERB PUNCT CCONJ ADP PART VERB SCONJ PRON ADV AUX ADJ SCONJ SCONJ PRON VERB NOUN PRON PUNCT SCONJ PART PUNCT AUX PRON VERB ADP PUNCT ADP PRON AUX PRON DET DET PUNCT PRON VERB PRON SCONJ PART VERB PRON DET NOUN PUNCT SPACE PUNCT ADJ PUNCT PROPN PUNCT PRON VERB ADV ADJ SCONJ PRON AUX NOUN PUNCT SPACE PUNCT PRON AUX PART ADV ADP NOUN PRON VERB PRON PUNCT PRON VERB PRON ADP DET NOUN PUNCT CCONJ NOUN ADP ADV ADV PUNCT SPACE PUNCT NUM NOUN PUNCT PRON AUX PRON PART ADJ ADP PUNCT SPACE PUNCT PRON VERB PART ADP ADP PRON ADV PUNCT PRON AUX PRON VERB ADP NOUN CCONJ NOUN PRON DET NUM NOUN PUNCT SPACE PROPN VERB ADP NOUN ADP NOUN PUNCT CCONJ PROPN VERB ADP PRON PUNCT NOUN VERB PRON ADP NOUN ADP NOUN CCONJ NOUN PUNCT SPACE PUNCT ADP NOUN PUNCT PRON AUX VERB PRON ADJ PUNCT NOUN VERB ADV ADP NOUN PUNCT PRON AUX,0.046189376443418015,0.3927539779681753,206,866,0.5825242718446602,0.15986595097771822,1.67,3.572,2.662,3.662
"[ , Ved, lunsjen, i, dag, ville, ikke, Gary, la, meg, betale, for, oss, begge, ., Det, passet, seg, ikke, for, en, mann, å, ta, imot, og, alt, det, ,, der, tullet, ., 
, —, Hva, har, det, med, Rome, Lockwood, å, gjøre, ?, 
, —, Jeg, snakket, med, han, like, etter, lunsjen, mens, jeg, fremdeles, var, irritert, over, at, Gary, var, så, idiotisk, sjåvinistisk, ., Da, Rome, og, jeg, begynte, å, snakke, om, likestilling, ,, spurte, jeg, ham, om, han, ville, ta, imot, en, invitasjon, til, å, gå, ut, en, kveld, med, en, kvinne, og, la, henne, betale, og, så, videre, ., Han, sa, at, han, hadde, ingen, betenkeligheter, der, ,, og, så, utfordret, jeg, ham, til, å, gå, ut, med, meg, ., Han, sa, ja, enda, han, forakter, meg, og, jeg, hater, ham, ., Så, det, er, altså, det, store, eventyret, som, alle, er, så, opptatt, av, ., 
, —, Du, bare, tøyser, !, fikk, Ginger, så, vidt, fram, ., 
, —, Jeg, skulle, ønske, det, var, slik, ., Lexie, rufset, i, de, røde, lokkene, med, fingrene, og, stirret, opp, i]",SPACE ADP NOUN ADP NOUN AUX PART PROPN VERB PRON VERB ADP PRON DET PUNCT PRON VERB PRON PART ADP DET NOUN PART VERB ADP CCONJ DET PRON PUNCT ADV VERB PUNCT SPACE PUNCT PRON VERB PRON ADP PROPN PROPN PART VERB PUNCT SPACE PUNCT PRON VERB ADP PRON ADV ADP NOUN SCONJ PRON ADV AUX ADJ SCONJ SCONJ PROPN AUX ADV ADJ ADJ PUNCT SCONJ PROPN CCONJ PRON VERB PART VERB ADP NOUN PUNCT VERB PRON PRON SCONJ PRON AUX VERB ADP DET NOUN SCONJ PART VERB ADP DET NOUN ADP DET NOUN CCONJ VERB PRON VERB CCONJ ADV ADJ PUNCT PRON VERB SCONJ PRON VERB DET NOUN ADV PUNCT CCONJ ADV VERB PRON PRON SCONJ PART VERB ADP ADP PRON PUNCT PRON VERB NOUN ADV PRON VERB PRON CCONJ PRON VERB PRON PUNCT CCONJ PRON AUX ADV DET ADJ NOUN PRON PRON AUX ADV ADJ ADP PUNCT SPACE PUNCT PRON ADV VERB PUNCT VERB PROPN ADV ADJ ADP PUNCT SPACE PUNCT PRON AUX VERB PRON AUX ADV PUNCT PROPN NOUN ADP DET ADJ NOUN ADP NOUN CCONJ VERB ADP ADP,0.05150753768844221,0.3873360107095054,182,796,0.6703296703296703,0.20219414951029732,1.592,3.238,2.587,3.581
"[ , Vi, var, alene, ,, og, vi, elsket, hverandre, og, lekte, med, hverandre, ., Jeg, havnet, med, hodet, mellom, lårene, hennes, ,, og, hun, klemte, til, ., Hun, holdt, hodet, mitt, med, et, fast, ,, bestemt, grep, ,, og, jeg, var, beseiret, ., Jeg, var, våt, på, kroppen, —, og, helt, edru, ., Birthe, bet, meg, i, tåen, og, lo, kurrende, og, begynte, å, kysse, bena, og, lårene, mine, og, fortsatte, oppover, mot, lemmet, mitt, ., Hun, lot, tungespissen, sin, leke, over, det, ., Jeg, var, slapp, og, rolig, ., Men, da, jeg, merket, hvordan, lemmet, mitt, plutselig, ble, omsluttet, av, varme, ,, begynte, heten, å, forplante, seg, ut, gjennom, hele, kroppen, og, fylle, alle, musklene, mine, ., Tungen, hennes, gled, rundt, toppen, ,, langsomt, og, forsiktig, ,, uten, at, tennene, hennes, gjorde, vondt, ., 
, Jeg, nærmet, meg, forsiktig, hennes, skjød, ., De, krusete, hårene, var, helt, våte, ., Som, glitrende, perler, hang, de, iskalde, vanndråpene, der, ., Jeg, ble, våt, i, ansiktet, ., Tungen, min, gled, frem, og, tilbake, langs, sk]",SPACE PRON AUX ADV PUNCT CCONJ PRON VERB PRON CCONJ VERB ADP PRON PUNCT PRON VERB ADP NOUN ADP NOUN PRON PUNCT CCONJ PRON VERB ADP PUNCT PRON VERB NOUN PRON ADP DET ADJ PUNCT ADJ NOUN PUNCT CCONJ PRON AUX VERB PUNCT PRON AUX ADJ ADP NOUN PUNCT CCONJ ADJ ADJ PUNCT PROPN VERB PRON ADP PROPN CCONJ VERB ADJ CCONJ VERB PART VERB NOUN CCONJ NOUN PRON CCONJ VERB ADP ADP NOUN PRON PUNCT PRON VERB NOUN PRON VERB ADP PRON PUNCT PRON AUX ADJ CCONJ ADJ PUNCT CCONJ SCONJ PRON VERB ADV NOUN PRON ADJ AUX VERB ADP NOUN PUNCT VERB NOUN PART VERB PRON ADP ADP ADJ NOUN CCONJ VERB DET NOUN PRON PUNCT NOUN PRON VERB ADP NOUN PUNCT ADJ CCONJ ADJ PUNCT SCONJ SCONJ NOUN PRON VERB ADJ PUNCT SPACE PRON VERB PRON ADJ PRON NOUN PUNCT DET ADJ NOUN AUX ADJ ADJ PUNCT SCONJ ADJ NOUN VERB DET ADJ NOUN ADV PUNCT PRON VERB ADJ ADP NOUN PUNCT NOUN PRON VERB ADP CCONJ ADP ADP NOUN,0.04363207547169811,0.3775219023779728,173,848,0.49710982658959535,0.09243433683284837,1.66,3.37,2.735,3.735
"[ , McDermott, skyver, rullatoren, sakte, framfor, seg, ., 
, -, Beklaget, at, jeg, kommer, så, tidlig, ,, sier, jeg, ., 
, —, Nei, da, ,, nei, da, ,, det, gjør, ingenting, ., Jeg, er, alltid, oppe, tidlig, ., Har, du, lyst, på, en, kopp, te, ?, 
, -, Ja, takk, ,, det, hørtes, deilig, ut, ., 
, -, Kom, ,, la, oss, gå, inn, på, kjøkkenet, ., 
, Den, gamle, mannen, er, skral, til, bens, ,, men, effektiv, på, kjøkkenet, likevel, ., Han, setter, over, vann, ,, finner, fram, te, ,, kopper, og, sukker, mens, jeg, setter, meg, ved, et, kjøkkenbord, som, sikkert, kan, romme, tallerkener, og, mat, til, minst, 20, mennesket, ., Alt, rundt, meg, er, skinnende, rent, ., 
, Han, har, sikkert, vaskehjelp, ., 
, -, Så, ,, sier, han, og, setter, seg, rett, overfor, meg, ., -, Hva, bringer, deg, hit, igjen, ,, Julie, ,, kjære, deg, ?, 
, Jeg, tar, fram, bildet, av, familien, vår, og, legger, det, fra, meg, på, bordet, ., Professoren, tar, på, seg, brillene, ,, løfter, opp, fotografiet, ,, studerer, det, ., Så, skjer, det, noe, i, ansiktet, hans, ., Det, er, som, om, det, forandrer, farge, ., Og, jeg, skjønner, med, en, gang, at, det, ikke]",SPACE PROPN VERB NOUN ADJ ADP PRON PUNCT SPACE PUNCT NOUN SCONJ PRON VERB ADV ADJ PUNCT VERB PRON PUNCT SPACE PUNCT INTJ ADV PUNCT INTJ ADV PUNCT PRON VERB PRON PUNCT PRON AUX ADV ADP ADJ PUNCT VERB PRON NOUN ADP DET NOUN NOUN PUNCT SPACE PUNCT INTJ NOUN PUNCT PRON VERB ADJ ADP PUNCT SPACE PUNCT VERB PUNCT VERB PRON VERB ADP ADP NOUN PUNCT SPACE DET ADJ NOUN AUX ADJ ADP NOUN PUNCT CCONJ ADJ ADP NOUN ADV PUNCT PRON VERB ADP NOUN PUNCT VERB ADP NOUN PUNCT NOUN CCONJ VERB SCONJ PRON VERB PRON ADP DET NOUN PRON ADJ AUX VERB NOUN CCONJ NOUN ADP ADJ NUM NOUN PUNCT PRON ADP PRON AUX ADJ ADJ PUNCT SPACE PRON VERB ADJ NOUN PUNCT SPACE PUNCT ADV PUNCT VERB PRON CCONJ VERB PRON ADJ ADP PRON PUNCT PUNCT PRON VERB PRON ADV ADV PUNCT PROPN PUNCT ADJ PRON PUNCT SPACE PRON VERB ADP NOUN ADP NOUN PRON CCONJ VERB PRON ADP PRON SCONJ NOUN PUNCT NOUN VERB ADP PRON NOUN PUNCT VERB ADP NOUN PUNCT VERB PRON PUNCT ADV VERB PRON PRON ADP NOUN PRON PUNCT PRON AUX ADP SCONJ PRON VERB NOUN PUNCT CCONJ PRON VERB ADP DET NOUN SCONJ PRON PART,0.05073280721533258,0.3856563245823376,205,887,0.5414634146341464,0.12224436968353836,1.572,3.566,2.805,3.805
"[ , Jeg, er, nede, på, alle, fire, og, leter, under, senga, ., Ganske, riktig, ,, det, er, der, jeg, finner, den, ,, skjult, bak, kanten, av, sengeteppet, ., Jeg, får, også, øye, på, bæreposen, med, gipsen, i., Jeg, visste, ikke, hvor, jeg, skulle, legge, den, ,, så, jeg, skjøv, den, inn, under, senga, ., Jeg, hadde, aldri, trodd, at, jeg, skulle, bli, nødt, til, å, se, den, igjen, ., Eller, tenke, på, den, ., 
, Jeg, reiser, meg, og, tar, på, meg, joggeskoen, ., Deretter, ryggsekken, ., «, Jeg, sa, til, Jared, at, jeg, skulle, være, der, for, ti, minutter, siden, ., 
, «, OK, ,, hør, her, ,, jeg, rekker, ikke, kurset, mitt, i, kveld, ,, så, jeg, kan, være, her, og, snakke, med, deg, ,, Evan, ., Jeg, vil, fryktelig, gjerne, at, du, snakker, med, meg, ., 
, «, OK, ,, så, jeg, skal, liksom, droppe, alt, bare, fordi, det, passer, deg, ?, Jeg, kan, ikke, la, være, å, gjøre, lekser, bare, fordi, du, har, bestemt, deg, for, å, skulke, timen, ., 
, Hun, puster, dypt, inn, og, ut, på, en, liksom-dramatisk, måte, ,, og, prøver, å, beholde, roen, ., «, Jeg, skjønner, ikke, hva, som, skjer, med, deg]",SPACE PRON AUX ADP ADP DET NUM CCONJ VERB ADP NOUN PUNCT ADV ADJ PUNCT PRON AUX ADV PRON VERB PRON PUNCT ADJ ADP NOUN ADP NOUN PUNCT PRON VERB ADV NOUN ADP NOUN ADP NOUN PUNCT PRON VERB PART ADV PRON AUX VERB PRON PUNCT CCONJ PRON VERB PRON ADP ADP NOUN PUNCT PRON AUX ADV VERB SCONJ PRON AUX VERB ADJ SCONJ PART VERB PRON ADV PUNCT CCONJ VERB ADP PRON PUNCT SPACE PRON VERB PRON CCONJ VERB ADP PRON NOUN PUNCT ADV NOUN PUNCT PUNCT PRON VERB ADP PROPN SCONJ PRON AUX AUX ADV ADP NUM NOUN ADV PUNCT SPACE PUNCT ADJ PUNCT VERB ADV PUNCT PRON VERB PART NOUN PRON ADP NOUN PUNCT CCONJ PRON AUX AUX ADV CCONJ VERB ADP PRON PUNCT PROPN PUNCT PRON AUX ADJ ADV SCONJ PRON VERB ADP PRON PUNCT SPACE PUNCT ADJ PUNCT CCONJ PRON AUX ADV VERB PRON ADV SCONJ PRON VERB PRON PUNCT PRON AUX PART VERB VERB PART VERB NOUN ADV SCONJ PRON AUX VERB PRON SCONJ PART VERB NOUN PUNCT SPACE PRON VERB ADJ ADP CCONJ ADP ADP DET ADJ NOUN PUNCT CCONJ VERB PART VERB NOUN PUNCT PUNCT PRON VERB PART PRON PRON VERB ADP PRON,0.04372842347525892,0.40302439024390185,201,869,0.6169154228855721,0.1609036114966954,1.684,3.576,2.628,3.628
"[ , Jeg, trodde, vi, hadde, funnet, et, godt, hjem, til, henne, for, noen, uker, siden, ,, men, det, fungerte, ikke, ,, tilføyde, Manuela, ., -, Helt, siden, da, har, jeg, holdt, henne, gjemt, ., 
, —, Jeg, kaller, henne, for, Frøken, ., Mamma, mener, at, det, er, mindre, risiko, for, at, jeg, skal, knytte, meg, til, hunden, om, vi, ikke, gir, henne, et, ordentlig, navn, ., 
, -, Det, er, en, vanskelig, situasjon, ,, sa, Lupa, ., 
, -, Alt, vi, ønsker, er, å, finne, et, godt, hjem, til, valpen, ,, men, det, er, ingen, her, i, nærheten, som, kan, ta, vare, på, henne, ., Og, vi, har, ikke, tid, til, å, lete, andre, steder, ,, ettersom, vi, nesten, aldri, har, fri, fra, jobben, på, hotellet, ., 
, -, Jeg, skulle, ønske, at, jeg, kunne, hjelpe, dere, ,, sa, jeg, ., -, Er, det, noe, jeg, kan, gjøre, ?, 
, -, Bare, ikke, si, noe, til, Jason, om, hunden, ,, ba, Lupa, ., -, Det, ville, ødelegge, Uvene, våre, ., Manuela, har, fortalt, deg, at, vi, sparer, til, utdannelsen, henne, ,, sP., Jeg, underviser, henne, hjemme, for, tiden, ,, men, jeg, vet, at, hun, må, ta, en, universitetseksamen, for, å, kunne, bli, fremgangsrik]",SPACE PRON VERB PRON AUX VERB DET ADJ NOUN ADP PRON ADP DET NOUN ADV PUNCT CCONJ PRON VERB PART PUNCT VERB PROPN PUNCT PUNCT ADJ ADV ADV AUX PRON VERB PRON VERB PUNCT SPACE PUNCT PRON VERB PRON ADP PROPN PUNCT NOUN VERB SCONJ PRON VERB ADJ NOUN SCONJ SCONJ PRON AUX VERB PRON ADP NOUN SCONJ PRON PART VERB PRON DET ADJ NOUN PUNCT SPACE PUNCT PRON AUX DET ADJ NOUN PUNCT VERB PROPN PUNCT SPACE PUNCT PRON PRON VERB AUX PART VERB DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON VERB PRON ADV ADP NOUN PRON AUX VERB NOUN ADP PRON PUNCT CCONJ PRON VERB PART NOUN SCONJ PART VERB DET NOUN PUNCT SCONJ PRON ADV ADV VERB ADJ ADP NOUN ADP NOUN PUNCT SPACE PUNCT PRON AUX VERB SCONJ PRON AUX VERB PRON PUNCT VERB PRON PUNCT PUNCT VERB PRON PRON PRON AUX VERB PUNCT SPACE PUNCT ADV PART VERB PRON ADP PROPN ADP NOUN PUNCT VERB PROPN PUNCT PUNCT PRON AUX VERB NOUN PRON PUNCT PROPN AUX VERB PRON SCONJ PRON VERB ADP NOUN PRON PUNCT PROPN PRON VERB PRON ADP ADP NOUN PUNCT CCONJ PRON VERB SCONJ PRON AUX VERB DET NOUN SCONJ PART AUX VERB NOUN,0.04799107142857143,0.39301062573789763,203,896,0.6009852216748769,0.18134282851166547,1.649,3.74,2.607,3.601
"[ , Mens, de, satt, og, drakk, kaffe, ,, hørte, hun, Sally, si, :, 
, —, Skal, du, holde, åpent, hus, på, landstedet, ditt, som, vanlig, i, sommer, ,, Simon, ?, 
, —, Selvfølgelig, ,, svarte, Simon, rolig, ., 
, —, Selskaper, ?, spurte, Sally, ., —, Slik, som, i, gamle, dager, ?, 
, —, Jeg, antar, det, ,, sa, han, og, lo, ., —, Bedre, og, morsommere, bare, ,, ettersom, jeg, nå, har, Judy, til, å, hjelpe, meg, ., 
, Judy, gikk, bort, og, stilte, seg, opp, bak, stolen, hans, og, la, hendene, på, skuldrene, hans, ., 
, —, Kanskje, de, ikke, blir, så, morsomme, som, før, ,, sa, hun, lett, ,, —, en, kone, kommer, kanskje, til, å, legge, en, demper, på, stemningen, ., 
, Simon, snudde, hodet, og, smilte, til, henne, ., 
, —, Jeg, håper, vi, også, blir, invitert, ,, innskjøt, Anna, ., 
, —, Hermed, inviterer, jeg, dere, alle, sammen, ,, sa, Simon, ,, og, Judy, innbilte, seg, at, han, så, Sally, dypt, i, øynene, da, han, sa, det, ., 
, Etter, at, gjestene, var, gått, og, Simon, hadde, kjørt, Anna, og, Cynthia, til, hotellet, hvor, de, skulle, overnatte, ,, gikk, Jud]",SPACE SCONJ PRON VERB CCONJ VERB NOUN PUNCT VERB PRON PROPN VERB PUNCT SPACE PUNCT AUX PRON VERB ADJ NOUN ADP NOUN PRON SCONJ ADJ ADP NOUN PUNCT PROPN PUNCT SPACE PUNCT ADJ PUNCT VERB PROPN ADJ PUNCT SPACE PUNCT NOUN PUNCT VERB PROPN PUNCT PUNCT ADV PRON ADP ADJ NOUN PUNCT SPACE PUNCT PRON VERB PRON PUNCT VERB PRON CCONJ VERB PUNCT PUNCT ADJ CCONJ ADJ ADV PUNCT SCONJ PRON ADV AUX PROPN SCONJ PART VERB PRON PUNCT SPACE PROPN VERB ADP CCONJ VERB PRON ADP ADP NOUN PRON CCONJ VERB NOUN ADP NOUN PRON PUNCT SPACE PUNCT ADV PRON PART VERB ADV ADJ PRON ADP PUNCT VERB PRON ADJ PUNCT PUNCT DET NOUN VERB ADV SCONJ PART VERB DET NOUN ADP NOUN PUNCT SPACE PROPN VERB NOUN CCONJ VERB ADP PRON PUNCT SPACE PUNCT PRON VERB PRON ADV AUX VERB PUNCT NOUN PROPN PUNCT SPACE PUNCT PROPN VERB PRON PRON DET ADV PUNCT VERB PROPN PUNCT CCONJ PROPN VERB PRON SCONJ PRON VERB PROPN ADJ ADP NOUN SCONJ PRON VERB PRON PUNCT SPACE SCONJ SCONJ NOUN AUX VERB CCONJ PROPN AUX VERB PROPN CCONJ PROPN ADP NOUN ADV PRON AUX VERB PUNCT VERB PROPN,0.0468187274909964,0.4038010204081623,196,833,0.4846938775510204,0.0994981264980143,1.61,3.51,2.737,3.737
"[ , Er, dere, sprøyte, gale, begge, to, ?, », spurte, Gino, ., 
, Allen, smilte, elskverdig, ., «, Jeg, fortalte, deg, jo, at, helt, til, i, går, aftes, trodde, Anne, at, jeg, var, en, beskjeden, sliter, av, en, forsikringsagent, ., Hun, må, tilpasse, seg, først, ., 
, «, Hva, er, det, for, slags, tilpasning, som, skal, til, ?, Har, det, noen, gang, vært, et, handicap, å, ha, penger, ?, 
, «, Vi, har, aldri, snakket, om, kjærlighet, ,, far, ., Jeg, tror, ikke, Anne, har, tatt, meg, alvorlig, ., Hun, har, vært, for, opptatt, med, å, være, redd, for, at, jeg, skulle, miste, jobben, min., 
, Gino, så, nyfikent, på, Anne, ., «, De, har, virkelig, gått, ut, med, ham, uke, etter, uke, og, spist, på, de, grusomme, spisestedene, han, har, fortalt, om, ?, 
, Anne, smilte, matt, ., Hun, begynte, å, føle, at, folk, la, merke, til, dem, ., Gino, hadde, en, gjennomtrengende, stemme, ,, og, Anne, var, sikker, på, at, halve, lokalet, fulgte, med, i, samtalen, ., 
, Gino, slo, seg, på, lårene, og, lo, høyt, ., «, Den, er, god, !, », Han, skjenket, mer]",SPACE AUX PRON VERB ADJ DET NUM PUNCT PUNCT VERB PROPN PUNCT SPACE PROPN VERB ADJ PUNCT PUNCT PRON VERB PRON ADV SCONJ ADJ ADP ADP NOUN PROPN VERB PROPN SCONJ PRON AUX DET ADJ VERB ADP DET NOUN PUNCT PRON AUX VERB PRON ADV PUNCT SPACE PUNCT PRON AUX PRON ADP NOUN NOUN PRON VERB ADP PUNCT VERB PRON DET NOUN AUX DET NOUN PART VERB NOUN PUNCT SPACE PUNCT PRON AUX ADV VERB ADP NOUN PUNCT NOUN PUNCT PRON VERB PART PROPN AUX VERB PRON ADJ PUNCT PRON AUX AUX ADV ADJ SCONJ PART AUX ADJ SCONJ SCONJ PRON AUX VERB NOUN VERB SPACE ADJ ADV NOUN ADP PROPN PUNCT PUNCT PRON AUX ADJ VERB ADP ADP PRON NOUN ADP NOUN CCONJ VERB ADP DET ADJ NOUN PRON AUX VERB ADP PUNCT SPACE PROPN VERB ADJ PUNCT PRON VERB PART VERB SCONJ NOUN VERB NOUN ADP PRON PUNCT ADJ VERB DET ADJ NOUN PUNCT CCONJ PROPN AUX ADJ SCONJ SCONJ ADJ NOUN VERB ADP ADP NOUN PUNCT SPACE PROPN VERB PRON ADP NOUN CCONJ VERB ADJ PUNCT PUNCT PRON AUX ADJ PUNCT PUNCT PRON VERB ADJ,0.048484848484848485,0.40762886597938075,188,825,0.5159574468085106,0.1657110610718042,1.569,3.26,2.762,3.762
