tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu,compression_ratio,pos_compression_ratio,3_gram_diversity_score,4_gram_diversity_score
"[ , Politiet, sier, de, to, 18-åringe, ne, i, bilen, har, hatt, englevakt, da, bilen, de, kjørte, havnet, utfor, Høvågveien, ved, Suk, kevann, søndag, kveld, ., 
, Det, er, ikke, snakk, om, person, skader, ,, ifølge, operasjonsleder, i, Agder, politidistrikt, ,, Per, Kristian, Klausen, ., Politiet, fikk, melding, om, ulykken, klokken, 22.40., -, Bilen, har, hatt, høy, fart, ,, og, det, er, lange, skrensespor, før, bilen, har, kjørt, av, veien, ,, inn, i, en, fjellknaus, og, kastet, ut, i, motgående, felt, ., 
, fjellet, ., Flaks, ,, bemerker, Klausen, ., Mistenkte, sjåfør, er, 18, år, ,, og, fø, rerkortet, er, beslaglagt, på, stedet, ., Bilføreren, har, hatt, førerkortet, i, tre, og, en, halv, måned, ., 
, Ulykkesbilen, hadde, fått, seg, en, skikkelig, trøkk, i, fronten, etter, kol, lisjonen, FOTO, :]",SPACE NOUN VERB DET NUM ADJ NOUN ADP NOUN AUX VERB NOUN SCONJ NOUN PRON VERB VERB ADP PROPN ADP PROPN NOUN NOUN NOUN PUNCT SPACE PRON AUX PART NOUN ADP NOUN NOUN PUNCT ADP NOUN ADP PROPN NOUN PUNCT PROPN PROPN PROPN PUNCT NOUN VERB NOUN ADP NOUN NOUN NUM PUNCT NOUN AUX VERB ADJ NOUN PUNCT CCONJ PRON AUX ADJ NOUN SCONJ NOUN AUX VERB ADP NOUN PUNCT ADP ADP DET NOUN CCONJ VERB ADP ADP ADJ NOUN PUNCT SPACE NOUN PUNCT NOUN PUNCT VERB PROPN PUNCT ADJ NOUN AUX NUM NOUN PUNCT CCONJ VERB NOUN AUX VERB ADP NOUN PUNCT NOUN AUX VERB NOUN ADP NUM CCONJ DET ADJ NOUN PUNCT SPACE NOUN AUX VERB PRON DET ADJ NOUN ADP NOUN ADP PROPN NOUN NOUN PUNCT,0.06959152798789713,0.3991176470588235,129,661,0.40310077519379844,0.08677263991837847,1.48,2.869,2.752,3.752
"[ , En, av, dem, som, sikret, seg, et, ek, semplar, av, en, av, bøkene, ,, var, stjørdalingen, Sigvart, Vold, fra, Kvislabakken, ., Han, er, ihuga, til, henger, av, de, røde, ,, og, med, flere, besøk, bak, seg, på, Anfield, ., Om, fire, uker, blir, det, ny, tur, til, Liverpool, for, Sigvart, som, reiser, sammen, med, 19, andre, fotballsupportere, ., -, Jeg, skal, se, Liverpool, mot, West, Bromwich, Albion, (, WBA, )]",SPACE DET ADP PRON PRON VERB PRON DET X X ADP DET ADP NOUN PUNCT AUX NOUN PROPN PROPN ADP PROPN PUNCT PRON AUX ADJ ADP VERB ADP DET ADJ PUNCT CCONJ ADP ADJ NOUN ADP PRON ADP PROPN PUNCT ADP NUM NOUN VERB PRON ADJ NOUN ADP PROPN ADP PROPN PRON VERB ADV ADP NUM DET NOUN PUNCT PUNCT PRON AUX VERB PROPN ADP PROPN PROPN PROPN PUNCT PROPN PUNCT,0.12941176470588237,0.4198625429553266,71,340,0.5211267605633803,0.0902493242748778,1.19,2.036,2.859,3.859
"[ , Det, er, en, del, klubber, som, følger, med, meg, ., Jeg, har, allerede, blitt, kontaktet, av, Newcastle, ,, sier, Darcheville, til, L'Equipe, .]",SPACE PRON AUX DET NOUN NOUN PRON VERB ADP PRON PUNCT PRON AUX ADV AUX VERB ADP PROPN PUNCT VERB PROPN ADP PROPN PUNCT,0.26666666666666666,0.40140845070422526,24,120,0.625,0.010211115252867763,0.776,1.054,3.0,4.0
"[ , Sist, lørdag, var, bygdefolket, in, vitert, til, lørdagskafé, på, sam, funnshuset, ., Blant, de, frammøtte, var, 84, år, gamle, Knut, K., Rausand, som, var, med, på, dugnad, da, huset, ble, bygd, i, 1962., 
, -, Jeg, jobbet, på, ingeniørkon, toret, i, gruva, på, den, tida, ., Det, var, bra, vi, fikk, samfunnshuset, på, plass, ., Det, har, vært, mye, i, bruk, ., Det, var, en, forutsetning, for, den, framtidige, bruken, at, også, idrettslaget, skulle, få, bru, ke, huset, ., Slik, har, det, vært, .]",SPACE ADJ NOUN AUX NOUN NOUN ADJ ADP NOUN ADP PROPN NOUN PUNCT ADP DET ADJ AUX NUM NOUN ADJ PROPN PROPN PROPN PRON AUX ADP ADP NOUN SCONJ NOUN AUX VERB ADP PROPN SPACE PUNCT PRON VERB ADP NOUN PROPN ADP NOUN ADP DET NOUN PUNCT PRON AUX ADJ PRON VERB NOUN ADP NOUN PUNCT PRON AUX AUX ADJ ADP NOUN PUNCT PRON VERB DET NOUN ADP DET ADJ NOUN SCONJ ADV NOUN AUX VERB NOUN PROPN NOUN PUNCT ADV AUX PRON VERB PUNCT,0.1,0.42177285318559743,85,410,0.5529411764705883,0.07837135586606912,1.328,2.299,2.805,3.805
"[ , Ja, ,, du, sier, noe, ,, sa, han, ., 
, Når, jeg, leser, Jesu, lignelse, om, korndyrking, ,, tenker, jeg, at, det, er, et, godt, stykke, fra, det, vi, driver, med, som, kornbønder, i, Høland, i, dag, ., 
, Det, er, berre, den, aberen, med, det, at, det, vil, koste, mange, penger, !, Vi, får, heller, hogge, litt, i, skogstykket, ,, sa, Ivar, og, vågde, seg, til, å, si, vi, ,, for, det, var, nå, han, som, engang, skulle, ha, garden, ,, tenkte, han, ., -, Tja, ,, faren, tok, et, langt, drag, av, pipa, og, ble, sittende, og, sjå, ned, for, seg, ., -, Det, kan, vel, hende, at, du, trenger, litt, penger, igjen, au, -, til, studiene, ,, sa, han, ., -, Nei, ,, nå, skal, du, slippe, å, tenke, på, mer, penger, til, studier, ,, sa, Ivar, ., Jeg, vil, slutte, ,, og, bli, heme, !, Faren, glemte, å, røyke, og, så, storøyd, på, ham, ., Hå, er, det, du, seier, gut, ., Du, vil, da, vel, itte, slutte, -, nå, ?, 
, -, Jo, ,, far, ,, jeg, trengs, bedre, heme, enn, å, slite, baken, på, skolebenken, ,, sa]",SPACE INTJ PUNCT PRON VERB PRON PUNCT VERB PRON PUNCT SPACE SCONJ PRON VERB PROPN NOUN ADP NOUN PUNCT VERB PRON SCONJ PRON AUX DET ADJ NOUN ADP PRON PRON VERB ADP ADP NOUN ADP PROPN ADP NOUN PUNCT SPACE PRON AUX ADV DET NOUN ADP PRON SCONJ PRON AUX VERB ADJ NOUN PUNCT PRON AUX ADV VERB ADJ ADP NOUN PUNCT VERB PROPN CCONJ VERB PRON SCONJ PART VERB PRON PUNCT CCONJ PRON AUX ADV PRON PRON ADV AUX VERB NOUN PUNCT VERB PRON PUNCT PUNCT INTJ PUNCT NOUN VERB DET ADJ NOUN ADP NOUN CCONJ VERB ADJ CCONJ VERB ADP ADP PRON PUNCT PUNCT PRON AUX ADV VERB SCONJ PRON VERB ADJ NOUN ADV PROPN PUNCT ADP NOUN PUNCT VERB PRON PUNCT PUNCT INTJ PUNCT ADV AUX PRON VERB PART VERB ADP ADJ NOUN ADP NOUN PUNCT VERB PROPN PUNCT PRON AUX VERB PUNCT CCONJ VERB ADJ PUNCT NOUN VERB PART VERB CCONJ ADV ADJ ADP PRON PUNCT PROPN AUX PRON PRON NOUN PROPN PUNCT PRON AUX ADV ADV NOUN VERB PUNCT ADV PUNCT SPACE PUNCT INTJ PUNCT NOUN PUNCT PRON VERB ADJ NOUN SCONJ PART VERB NOUN ADP NOUN PUNCT VERB,0.04896907216494845,0.3859422283356256,194,776,0.5670103092783505,0.05859251931371805,1.592,3.547,2.705,3.705
"[ , Er, det, også, den, verste, kampen, i, hele, din, Stabæk-karriere, ?, 
, -, Det, er, litt, vanskelig, å, svare, på, ,, Men, kanskje, ?, svarer, svensken, ., 
, -, Slik, situasjonen, er, nå, er, det, nok, å, tenke, to, dager, frem, ., Da, har, vi, en, cup, kamp, og, den, kampen, må, vi, bruke, til, å, snu, trenden, ,, mener, Stabæk-treneren, ., 
, ferie, ., Turen, går, neppe, tilbake, til, Ålesund, ., FOTO, :]",SPACE VERB PRON ADV DET ADJ NOUN ADP ADJ PRON NOUN PUNCT SPACE PUNCT PRON AUX ADJ ADJ PART VERB ADP PUNCT CCONJ ADV PUNCT VERB NOUN PUNCT SPACE PUNCT ADV NOUN AUX ADV AUX PRON ADV PART VERB NUM NOUN ADP PUNCT ADV VERB PRON DET NOUN NOUN CCONJ DET NOUN AUX PRON VERB SCONJ PART VERB NOUN PUNCT VERB NOUN PUNCT SPACE NOUN PUNCT NOUN VERB ADV ADP ADP PROPN PUNCT NOUN PUNCT,0.11764705882352941,0.4051094890510957,75,323,0.5066666666666667,0.05043697896795356,1.219,2.056,2.847,3.847
"[ , I, disse, dager, synges, julen, inn, med, utallige, julekonserter, ., Resultatet, av, et, utall, timer, med, terping, skal, presenteres, for, publikum, over, det, ganske, land, som, en, stor, mengde, musikalske, julegaver, ., 
, I, podkasten, «, Helseopplysningen, », forteller, lege, Kaveh, Rashidi, om, hvordan, musikk, påvirker, den, psykiske, helsen, på, en, positiv, måte, ., Et, annet, godt, eksempel, på, hva, musikk, kan, gjøre, ,, har, vi, sett, i, den, fantastiske, serien, «, Demenskoret, », på, NRK, ., 
, Jeg, er, fullt, klar, over, at, det, å, synge, ikke, er, for, alle, ., Men, alle, kan, sette, pris, på, musikk, ., Det, aktiverer, det, indre, i, oss, på, en, unik, måte, ,, binder, oss, sammen, og, styrker, folkehelsen, ., 
, Min, oppfordring, til, deg, som, leser, dette, ,, og, som, fortsatt, ikke, har, vært, på, en, julekonsert, :, Sørg, for, at, du, får, opplevd, en, før, jul., Og, har, du, ingen, å, gå, med, ,, så, gå, på, egen, hånd, ., For, du, vil, likevel, møte, et, fellesskap, på, konserten, ,, og, sammen, kan, dere, synge, folkehelsen, inn, i, julestemning, .]",SPACE ADP DET NOUN VERB NOUN ADP ADP ADJ NOUN PUNCT NOUN ADP DET NOUN NOUN ADP NOUN AUX VERB ADP NOUN ADP PRON ADV NOUN SCONJ DET ADJ NOUN ADJ NOUN PUNCT SPACE ADP NOUN PUNCT PROPN PUNCT VERB NOUN PROPN PROPN SCONJ ADV NOUN VERB DET ADJ NOUN ADP DET ADJ NOUN PUNCT DET DET ADJ NOUN ADP PRON NOUN AUX VERB PUNCT AUX PRON VERB ADP DET ADJ NOUN PUNCT PROPN PUNCT ADP PROPN PUNCT SPACE PRON AUX ADJ ADJ SCONJ SCONJ PRON PART VERB PART AUX ADP PRON PUNCT CCONJ PRON AUX VERB NOUN ADP NOUN PUNCT PRON VERB PRON ADJ ADP PRON ADP DET ADJ NOUN PUNCT VERB PRON ADV CCONJ VERB NOUN PUNCT SPACE PRON NOUN ADP PRON PRON VERB PRON PUNCT CCONJ PRON ADV PART AUX AUX ADP DET NOUN PUNCT VERB SCONJ SCONJ PRON AUX VERB DET SCONJ PUNCT CCONJ VERB PRON PRON PART VERB ADP PUNCT ADV VERB ADP DET NOUN PUNCT CCONJ PRON AUX ADV VERB DET NOUN ADP NOUN PUNCT CCONJ ADV AUX PRON VERB NOUN ADP ADP NOUN PUNCT,0.04826038159371493,0.3981947743467942,181,891,0.569060773480663,0.026293689608667896,1.613,3.263,2.724,3.724
"[ , Denne, kampen, blir, Innsats', åttende, kamp, i, år, ,, mens, Rena, får, sin, andre, ., 
, Trysilgutten, og, Østby, /, Ljørdalen, tar, turen, til, banen, på, Engerneset, for, å, spille, ,, og, etter, det, som, Trysilgutten, har, vist, hittil, i, år, skulle, det, ligge, an, til, seier, her, ., 
, På, Grøndalen, får, vi, et, interessant, oppgjør, mellom, fjorårets, to, bunnlag, i, 5., divisjon, ,, Grøndalen, og, Søre, Osen, ., Grøndalen, har, spilt, to, gode, treningskamper, i, år, ,, og, vil, nok, komme, sterkere, i, år, enn, tidligere, ., 
, Sørskogbygda, for, fjorten, dager, siden, ,, men, kom, forrige, helg, tilbake, og, slo, Vestre, Trysil, 2—1., Vestre, Trysil, tar, turen, til, Kynndalen, for, å, møte, Sørskogbygda, ,, og, stiller, for, første, gang, i, år, opp, med, fullt, mannskap, ., Forrige, helg, ble, det, som, sagt, nederlag, mot, Søre, Osen, ., 
, I, tillegg, til, runden, denne, helgen, ,, vil, det, også, bli, spilt, en, rekke, kamper, i, påske, dagene, ., Helgen, etter, påske, blir, det, imidlertid, litt]",SPACE DET NOUN VERB PROPN ADJ NOUN ADP NOUN PUNCT SCONJ PROPN VERB PRON NOUN PUNCT SPACE PROPN CCONJ PROPN PUNCT NOUN VERB NOUN ADP NOUN ADP PROPN SCONJ PART VERB PUNCT CCONJ ADP PRON PRON PROPN AUX VERB ADV ADP NOUN AUX PRON VERB ADV ADP NOUN ADV PUNCT SPACE ADP PROPN VERB PRON DET ADJ NOUN ADP NOUN NUM NOUN ADP ADJ NOUN PUNCT PROPN CCONJ PROPN PROPN PUNCT PROPN AUX VERB NUM ADJ NOUN ADP NOUN PUNCT CCONJ AUX ADV VERB ADJ ADP NOUN ADP ADJ PUNCT SPACE PROPN ADP NUM NOUN ADV PUNCT CCONJ VERB DET NOUN ADP CCONJ VERB PROPN PROPN NUM ADJ PROPN VERB NOUN ADP PROPN SCONJ PART VERB PROPN PUNCT CCONJ VERB ADP ADJ NOUN ADP NOUN ADP ADP ADJ NOUN PUNCT DET NOUN VERB PRON SCONJ ADJ NOUN ADP PROPN PROPN PUNCT SPACE ADP NOUN ADP NOUN DET NOUN PUNCT AUX PRON ADV AUX VERB DET NOUN NOUN ADP NOUN NOUN PUNCT NOUN ADP NOUN VERB PRON ADV ADJ,0.057007125890736345,0.40063051702395885,168,842,0.5,0.050436831340632496,1.645,3.221,2.645,3.645
"[ , Vedkommende, ,, som, er, en, mann, i, 20-årene, ,, er, flydd, fra, stedet, i, luftambulanse, ., Mannen, skal, ha, vært, på, stedet, sammen, med, to, kamerater, ., De, to, blir, sett, til, av, helsepersonell, ,, meldte, politiet, på, Twitter, klokken, 19.15., 
, Ivana, Pavelin, var, på, stedet, da, ulykken, skjedde, ., Hun, forteller, at, flere, prøvde, å, dykke, ned, til, bunn, etter, mannen, ,, men, at, sikten, var, dårlig, og, at, det, var, mye, sjøgress, ., 
, –, Jeg, dykket, flere, ganger, ned, til, bunn, ., Jeg, dykket, etter, mønster, ,, men, klarte, ikke, å, finne, ham, ,, forteller, Pavelin, ,, som, lå, og, solte, seg, på, den, ene, siden, av, vannet, da, ulykken, skjedde, ., 
, –, Brannvesenets, redningsdykkere, var, lynkjapt, på, stedet, og, fikk, mannen, opp, av, vannet, i, løpet, av, minutter, ,, sier, Pavelin, ., 
, Klokken, 21.20, opplyser, politiet, at, mannen, døde, på, sykehus, ., Mannen, er, fra, Søndre, Buskerud, ., 
, –, De, pårørende, er, varslet, ,, og, blir, ivaretatt, av, helsepersonell, og, kommunens, kriseteam, ,, opplyser, politiet, ., 
, Ulykken]",SPACE ADJ PUNCT PRON AUX DET NOUN ADP NOUN PUNCT AUX VERB ADP NOUN ADP NOUN PUNCT NOUN AUX AUX AUX ADP NOUN ADV ADP NUM NOUN PUNCT DET NUM AUX VERB ADP ADP NOUN PUNCT VERB NOUN ADP PROPN NOUN NOUN SPACE PROPN PROPN AUX ADP NOUN SCONJ NOUN VERB PUNCT PRON VERB SCONJ ADJ VERB PART VERB ADP ADP NOUN ADP NOUN PUNCT CCONJ SCONJ NOUN AUX ADJ CCONJ SCONJ PRON VERB ADJ NOUN PUNCT SPACE PUNCT PRON VERB ADJ NOUN ADP ADP NOUN PUNCT PRON VERB ADP NOUN PUNCT CCONJ VERB PART PART VERB PRON PUNCT VERB PROPN PUNCT PRON VERB CCONJ VERB PRON ADP DET NUM NOUN ADP NOUN SCONJ NOUN VERB PUNCT SPACE PUNCT NOUN NOUN AUX ADJ ADP NOUN CCONJ VERB NOUN ADP ADP NOUN ADP NOUN ADP NOUN PUNCT VERB PROPN PUNCT SPACE NOUN NUM VERB NOUN SCONJ NOUN VERB ADP NOUN PUNCT NOUN AUX ADP PROPN PROPN PUNCT SPACE PUNCT DET ADJ AUX VERB PUNCT CCONJ AUX VERB ADP NOUN CCONJ NOUN NOUN PUNCT VERB NOUN PUNCT SPACE NOUN,0.05436013590033975,0.3947002398081535,177,883,0.4632768361581921,0.09330415444742729,1.671,3.363,2.62,3.62
"[ , Tilstanden, er, fortsatt, kritisk, for, den, 53, år, gamle, mannen, som, fre, dag, ved, 17.30-tiden, falt, i, sjøen, ved, Bradbenken, ., Han, hadde, hjerte, stans, da, han, ble, funnet, av, politiets, froskemann, ,, men, ved, Haukeland, sykehus, fikk, man, gjertet, i, gang, igjen, ., Han, har, ligget, bevisstløs, på, recovery-avdelingen, siden, da, ., Sammen, med, en, kamerat, på, 35, var, 53-åringen, ombord, i, en, lystbåt, og, falt, i, sjøen, da, han, skulle, i, land, ., Kameraten, hoppet, etter, ,, men, klarte, ikke, å, få, fatt, i, den, andre, .]",SPACE NOUN AUX ADV ADJ ADP DET NUM NOUN ADJ NOUN ADP ADJ NOUN ADP NOUN VERB ADP NOUN ADP PROPN PUNCT PRON VERB NOUN NOUN SCONJ PRON AUX VERB ADP NOUN NOUN PUNCT CCONJ ADP PROPN NOUN VERB PRON NOUN ADP NOUN ADV PUNCT PRON AUX VERB ADJ ADP NOUN ADV ADV PUNCT ADV ADP DET NOUN ADP NUM AUX NOUN NOUN ADP DET NOUN CCONJ VERB ADP NOUN SCONJ PRON AUX ADP NOUN PUNCT NOUN VERB ADP PUNCT CCONJ VERB PART PART VERB ADV ADP DET ADJ PUNCT,0.0824295010845987,0.40572815533980605,90,461,0.5555555555555556,0.13862074630024873,1.365,2.266,2.758,3.758
