tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu,compression_ratio,pos_compression_ratio,3_gram_diversity_score,4_gram_diversity_score
"[ , Nye, medier, i, regional, utvikling, ., Kr., 60., 
, Olav, R., Spilling, og, Ottadalen, -, kulturtradisjoner, Jorid, Vaagland, brynes, mot, framtida, ., 
, Tor, Dølvik, ,, Karl, Johan, Økonomisk, vurdering, av, Johansen, ,, Olav, R., 
, Olav, R., Spilling, og, Mellom, kultur, og, næring, ., Jorid, Vaagland, Kr., 140., 
, Kommunalt, kulturliv, i, Akershus, ,, (, kommer, )]",SPACE ADJ NOUN ADP ADJ NOUN PUNCT NOUN ADJ SPACE PROPN PROPN NOUN CCONJ PROPN PUNCT NOUN PROPN PROPN VERB ADP NOUN PUNCT SPACE PROPN PROPN PUNCT PROPN PROPN ADJ NOUN ADP PROPN PUNCT PROPN PROPN SPACE PROPN PROPN NOUN CCONJ ADP NOUN CCONJ NOUN PUNCT PROPN PROPN NOUN NUM SPACE ADJ NOUN ADP PROPN PUNCT PUNCT VERB PUNCT,0.15282392026578073,0.46023809523809456,59,301,0.1694915254237288,0.002488851891348778,1.169,2.186,2.718,3.718
"[ , For, det, første, er, 35, av, sakene, blitt, forsinket, i, Parlamentet, ., Dette, dreier, seg, i, hovedsak, om, saker, som, Rådet, relativt, hurtig, kunne, ha, kommet, til, enighet, om, ,, og, Parlamentets, forsinkelser, har, derfor, påvirket, Rådets, arbeidsplan, og, fristene, for, rettsaktenes, gjennomføring, i, medlemsstatene, ., 
, For, det, andre, har, spredningen, av, sakene, mellom, Rådets, forskjellige, organer, medført, en, svekkelse, av, det, politiske, press, som, utøves, av, Det, Europeiske, Råd, ., Videre, har, "", indre, marked-Rådet, "", avlyst, to, av, sine, møter, ,, med, den, virkning, at, andre, av, Rådets, organer, ikke, har, kunnet, kommet, videre, med, saker, som, hører, under, "", indre, marked-Rådet, "", ., 
, Videre, er, det, flere, saker, som, avhenger, av, viktige, politiske, beslutninger, som, skal, treffes, i, medlemsstatene, ., Det, dreier, seg, for, eksempel, om, saker, vedrørende, transport, ,, medarbeiderinnf, lytelse, og, EF-varemerker, ., 
, På, vedtakssiden, har, et, av, de, vanskeligste, områdene, vært, problemer, knyttet, til, fjerning, av, de, fiskale, barrierer, ,, som, også, har, skapt, store, forsink]",SPACE ADP DET ADJ AUX NUM ADP NOUN AUX VERB ADP PROPN PUNCT PRON VERB PRON ADP NOUN ADP NOUN PRON PROPN ADJ ADJ AUX AUX VERB ADP NOUN ADP PUNCT CCONJ PROPN NOUN AUX ADV VERB PROPN NOUN CCONJ NOUN ADP NOUN NOUN ADP NOUN PUNCT SPACE ADP DET DET VERB NOUN ADP NOUN ADP PROPN ADJ NOUN VERB DET NOUN ADP DET ADJ NOUN PRON VERB ADP PROPN PROPN PROPN PUNCT ADJ AUX PUNCT ADJ NOUN PUNCT VERB NUM ADP PRON NOUN PUNCT ADP DET NOUN SCONJ DET ADP PROPN NOUN PART AUX AUX VERB ADJ ADP NOUN PRON VERB ADP PUNCT ADJ NOUN PUNCT PUNCT SPACE ADJ AUX PRON ADJ NOUN PRON VERB ADP ADJ ADJ NOUN PRON AUX VERB ADP NOUN PUNCT PRON VERB PRON ADP NOUN ADP NOUN ADJ NOUN PUNCT PROPN NOUN CCONJ NOUN PUNCT SPACE ADP NOUN VERB DET ADP DET ADJ NOUN AUX NOUN VERB ADP NOUN ADP DET ADJ NOUN PUNCT PRON ADV AUX VERB ADJ NOUN,0.03909465020576132,0.38507042253521134,166,972,0.5,0.0658206291776099,1.76,3.139,2.644,3.644
"[ , En, sentral, faktor, knyttet, til, kompleksitet, er, hvordan, tjenesten, skal, uttrykkes, gjennom, spesifikasjonen, og, ytelseskravene, ., Utførelsen, av, revisjonstjenester, er, delvis, en, vurderingssak, for, tjenesteyteren, ,, men, er, også, knyttet, til, lovpålagte, minstestandarder, ., Dette, medfører, en, mulighet, til, forenkling, for, bestilleren, ,, en, del, av, hans, eller, hennes, bestillerkompetanse, kan, knyttes, til, standarder, som, er, godt, beskrevet, i, andre, sammenhenger, ., 
, Prosjektet, finner, i, liten, grad, at, det, er, foretatt, spesifikke, investeringer, i, forbindelse, med, den, kommunale, konkurranseutsettingen, ,, verken, på, tilbydernes, eller, innkjøpernes, side, ., Investeringene, knytter, seg, til, oppdragsgivernes, forberedelser, og, gjennomføring, av, konkurranseutsettingen, ,, og, kostnader, for, de, utførerorganisasjonene, som, valgte, å, gi, tilbud, ., Dette, kan, ikke, betraktes, som, spesifikke, investeringer, i, klassisk, forstand, ., Hvilken, kompetanse, det, finnes, på, kjøpers, side, vil, også, kunne, fa, betydning, for, resultatet, ., Vi, har, via, intervjuer, testet, ut, hvorvidt, bestillerkompetanse, har, hatt, en, sentral, del, i, prosessen, ., Prosjektet, har, vurdert, bestillerkompetansen, i, forhold, til, omfanget, av, konkurranseutsettingen, og]",SPACE DET ADJ NOUN VERB ADP NOUN AUX ADV NOUN AUX VERB ADP NOUN CCONJ NOUN PUNCT NOUN ADP NOUN AUX ADV DET NOUN ADP NOUN PUNCT CCONJ AUX ADV VERB ADP ADJ NOUN PUNCT PRON VERB DET NOUN ADP NOUN ADP NOUN PUNCT DET NOUN ADP PRON CCONJ PRON NOUN AUX VERB ADP NOUN PRON AUX ADJ VERB ADP DET NOUN PUNCT SPACE NOUN VERB ADP ADJ NOUN SCONJ PRON AUX VERB ADJ NOUN ADP NOUN ADP DET ADJ NOUN PUNCT CCONJ ADP NOUN CCONJ NOUN NOUN PUNCT NOUN VERB PRON ADP NOUN NOUN CCONJ NOUN ADP NOUN PUNCT CCONJ NOUN ADP DET NOUN PRON VERB PART VERB NOUN PUNCT PRON AUX PART VERB SCONJ ADJ NOUN ADP ADJ NOUN PUNCT DET NOUN PRON VERB ADP NOUN NOUN AUX ADV AUX VERB NOUN ADP NOUN PUNCT PRON AUX ADP NOUN VERB ADP SCONJ NOUN AUX VERB DET ADJ NOUN ADP NOUN PUNCT NOUN AUX VERB NOUN ADP NOUN ADP NOUN ADP NOUN CCONJ,0.02974628171478565,0.36819012797074885,164,1143,0.5,0.1081577597163731,1.893,3.39,2.686,3.686
"[ , Et, tilleggsmål, med, rapporten, har, ogsaa, vaert, å, benytte, data, fra, sedimentkjernene, til, å, vurdere, eutrofieringsutviklingen, i, de, to, hovedbassengene, i, Vansjø, de, siste, 25, årene, (, 1980-2005, ), ., 
, To, sedimentkjerner, ble, hentet, opp, fra, hovedstasjonene, i, Vansjøs, to, hovedbassenger, ,, dvs., dypeste, punkt, i, Storefjorden, og, i, Vanemfjorden, 8., august, 2005., Kjernene, ble, hentet, opp, vha., vanlig, sedimenthenter, (, "", Gravity, corer, "", ), ., Pga, ., hardpakket, ,, leirholdig, sediment, var, det, ikke, mulig, å, få, opp, lange, kjerner, med, det, utstyret, vi, hadde, tilgjengelig, ., De, kjernene, vi, fikk, opp, var, kun, 10-20, cm, lange, i, Storefjorden, og, 20-30, cm, lange, i, Vanemfjorden, ., 
, Kjernene, ble, splittet, i, 1, cm, skiver, ,, og, sendt, til, analyse, ., De, lengste, kjernene, fra, hvert, basseng, ble, sendt, til, datering, ., Før, analyse, ble, hver, skive, fra, de, korteste]",SPACE DET NOUN ADP NOUN AUX PROPN AUX PART VERB NOUN ADP NOUN SCONJ PART VERB NOUN ADP DET NUM NOUN ADP PROPN DET ADJ NUM NOUN PUNCT PRON PUNCT PUNCT SPACE NUM NOUN AUX VERB ADP ADP NOUN ADP PROPN NUM NOUN PUNCT ADV ADJ NOUN ADP NOUN CCONJ ADP PROPN ADJ NOUN NUM NOUN AUX VERB ADP PROPN ADJ NOUN PUNCT PUNCT PROPN VERB PUNCT PUNCT PUNCT NOUN PUNCT ADJ PUNCT ADJ NOUN AUX PRON PART ADJ PART VERB ADP ADJ NOUN ADP DET NOUN PRON VERB ADJ PUNCT DET NOUN PRON VERB ADP AUX ADV NUM NOUN ADJ ADP NOUN CCONJ NUM NOUN ADJ ADP PROPN PUNCT SPACE NOUN AUX VERB ADP NUM NOUN NOUN PUNCT CCONJ VERB ADP NOUN PUNCT DET ADJ NOUN ADP DET NOUN AUX VERB ADP NOUN PUNCT ADP NOUN VERB DET NOUN ADP DET ADJ,0.061224489795918366,0.42282993197278784,143,784,0.46853146853146854,0.05670338725311752,1.659,2.983,2.601,3.601
"[ , Under, prosjektets, gang, har, vi, samlet, mye, dokumentasjon, ., Bare, en, liten, del, er, med, i, denne, rapporten, ,, som, nok, er, blitt, i, største, laget, som, den, er, ., Spesielt, har, de, enkelte, omlandsregionene, fatt, lite, empirisk, dekning, ., Vi, har, derfor, diskutert, med, oppdragsgiverne, om, vi, skal, gi, ut, fire, statistikk, notater, separat, ,, ett, for, hver, by, ., Når, rapporten, går, i, trykken, er, dette, ikke, endelig, avklart, ,, men, det, er, svært, sannsynlig, at, dette, vil, bli, gjort, ., Noen, fa, steder, henvises, det, til, slike, notater, ., 
, Boligmarkedet, er, kanskje, den, viktigste, enkeltmekanismen, bak, bosetting, og, flytting, innen, et, storbyområde, ,, både, med, hensyn, til, fordelingen, mellom, bydeler, og, i, forholdet, til, omlandet, ., For, flyttestrømmene, over, storbygrensene, betyr, arbeidsmarkedet, langt, mindre, enn, boligmarkedet, ., Også, faktorer, som, har, å, gjøre, med, tilgjengelighettil, andre, typer, goder, enn, bolig, -, så, som, ulike, typer, av, varer, ,, av, private, og, offentlige, tjenester, ,, kulturtilbud, ,, kommunikasjoner, osv., spiller, i, hovedsak, positivt, inn, for, storby, områdene, ., I, tillegg, har, personer, som]",SPACE ADP NOUN NOUN AUX PRON VERB ADJ NOUN PUNCT ADV DET ADJ NOUN AUX ADP ADP DET NOUN PUNCT PRON ADV AUX VERB ADP ADJ NOUN PRON PRON VERB PUNCT ADJ AUX DET ADJ NOUN ADV ADJ ADJ NOUN PUNCT PRON AUX ADV VERB ADP NOUN SCONJ PRON AUX VERB ADP NUM NOUN NOUN ADJ PUNCT NUM ADP DET NOUN PUNCT SCONJ NOUN VERB ADP NOUN AUX PRON PART ADJ VERB PUNCT CCONJ PRON AUX ADJ ADJ SCONJ PRON AUX AUX VERB PUNCT DET ADJ NOUN VERB PRON ADP DET NOUN PUNCT SPACE NOUN AUX ADV DET ADJ NOUN ADP NOUN CCONJ NOUN ADP DET NOUN PUNCT CCONJ ADP NOUN ADP NOUN ADP NOUN CCONJ ADP NOUN ADP NOUN PUNCT ADP NOUN ADP NOUN VERB NOUN ADJ ADJ ADP NOUN PUNCT ADV NOUN PRON VERB PART VERB ADP ADP DET NOUN NOUN ADP NOUN PUNCT ADV ADP ADJ NOUN ADP NOUN PUNCT ADP ADJ CCONJ ADJ NOUN PUNCT NOUN PUNCT VERB ADV VERB ADP NOUN ADJ ADP ADP ADJ NOUN PUNCT ADP NOUN VERB NOUN PRON,0.03623898139079334,0.3666460905349794,177,1021,0.576271186440678,0.08054143358888036,1.658,3.176,2.805,3.805
"[ , I, radiell, retning, bruker, vi, N, II, lov, :, I, vertikalretningen, har, vi, likevekt, (, N, I, lov, ), 
, Vurdering, av, påstand, 1, :, Vi, ser, nå, av, formelen, for, normalkraften, at, denne, blir, avhengig, av, massen, og, uavhengig, av, radien, i, den, banen, legemet, går, i., 
, Fordi, massen, til, A, er, dobbelt, så, stor, som, massen, til, B, ,, vil, derfor, normalkraften, på, A, bli, dobbelt, så, stor, som, på, B., 
, Påstand, l, er, god, ., 
, Vurdering, av, påstand, 2, :, 
, Vi, ser, her, at, akselerasjonen, er, uavhengig, av, masse, og, baneradius, ., Vinkelen, er, den, samme, for, begge, klossene, ., Akselerasjonen, er, derfor, den, samme, for, begge, klossene, ., 
, Påstand, 2, er, korrekt, ., 
, Formelen, for, kinetisk, energi, er, gitt, som, formelen, ovenfor, :, 
, Vi, ser, her, at, energien, er, proporsjonal, med, massen, og, baneradien, ., Fordi, massen, til, A, er, dobbelt, så, stor, som, massen, til, B, ,, mens, radien, til, A, er, halvparten, av, radien, til, B, ,, vil, den, kinetiske, energien, bli]",SPACE ADP ADJ NOUN VERB PRON PROPN NUM NOUN PUNCT ADP NOUN VERB PRON NOUN PUNCT PROPN ADP NOUN PUNCT SPACE NOUN ADP NOUN NUM PUNCT PRON VERB ADV ADP NOUN ADP NOUN SCONJ PRON AUX ADJ ADP NOUN CCONJ ADJ ADP NOUN ADP DET NOUN NOUN VERB ADP SPACE SCONJ NOUN ADP PROPN AUX ADJ ADV ADJ ADP NOUN ADP PROPN PUNCT AUX ADV NOUN ADP PROPN VERB ADJ ADV ADJ ADP ADP PROPN SPACE NOUN PROPN AUX ADJ PUNCT SPACE NOUN ADP NOUN NUM PUNCT SPACE PRON VERB ADV SCONJ NOUN AUX ADJ ADP NOUN CCONJ ADJ PUNCT NOUN AUX DET DET ADP DET NOUN PUNCT NOUN AUX ADV DET DET ADP DET NOUN PUNCT SPACE NOUN NUM AUX ADJ PUNCT SPACE NOUN ADP ADJ NOUN AUX VERB SCONJ NOUN ADP PUNCT SPACE PRON VERB ADV SCONJ NOUN AUX NOUN ADP NOUN CCONJ NOUN PUNCT SCONJ NOUN ADP PROPN AUX ADJ ADV ADJ ADP NOUN ADP PROPN PUNCT SCONJ NOUN ADP PROPN AUX NOUN ADP NOUN ADP PROPN PUNCT AUX DET ADJ NOUN VERB,0.04436450839328537,0.3723057324840755,176,834,0.5340909090909091,0.02051616567146215,1.988,3.515,2.225,3.154
"[ , I, dette, avsnittet, skal, vi, gå, gjennom, hvilke, tjenester, som, utføres, av, assistentene, ., Tabell, 4.12, viser, fordelinger, for, ti, ryper, tjenester, de, personlige, assistentene, utfører, ., 
, Av, svarene, fra, 2010, ser, vi, at, alle, typer, tjenester, som, assistentene, har, utført, har, økt, bortsett, fra, personlig, stell, der, det, ikke, er, noen, endring, og, fritidsaktiviteter, der, det, er, en, svak, nedgang, ., Flere, brukere, ser, med, andre, ord, ut, til, å, sette, assistentene, til, flere, typer, oppgåver, ., Størst, er, endringen, for, arbeid, /, utdanning, med, en, økning, på, 12, prosentpoeng, ., Men, også, andelene, som, benytter, assistentene, til, transport, og, forefallende, arbeid, har, økt, betydelig, (, fra, seks, av, ti, til, syv, av, ti, ), ., 
, Tabell, 4.12, Tjenester, utført, av, personlige, assistenter, ., 
, Datamaterialet, for, 2010, gir, også, muligheter, til, å, undersøke, hvor, otte, de, ulike, tjenestene, utføres, ., Tabell, 4.13, gir, et, detaljert, bilde, av, hyppigheten, ,, fordelt, på, kategoriene, daglig, ,, ukentlig, ,, sjeldnere, og, aldri, ., Om, vi, tar, for, oss, det, ukentlige, bildet, ser, vi, følgende, ,, dvs., det, daglige]",SPACE ADP DET NOUN AUX PRON VERB ADP DET NOUN PRON VERB ADP NOUN PUNCT NOUN NUM VERB NOUN ADP NUM NOUN VERB DET ADJ NOUN VERB PUNCT SPACE ADP NOUN ADP NUM VERB PRON SCONJ DET NOUN NOUN PRON NOUN AUX VERB AUX VERB ADJ ADP ADJ NOUN SCONJ PRON PART VERB DET NOUN CCONJ NOUN SCONJ PRON AUX DET ADJ NOUN PUNCT ADJ NOUN VERB ADP DET NOUN ADP SCONJ PART VERB NOUN ADP ADJ NOUN NOUN PUNCT ADJ AUX NOUN ADP NOUN PUNCT NOUN ADP DET NOUN ADP NUM NOUN PUNCT CCONJ ADV NOUN PRON VERB NOUN ADP NOUN CCONJ ADJ NOUN AUX VERB ADJ PUNCT ADP NUM ADP NUM ADP NUM ADP NUM PUNCT PUNCT SPACE NOUN NUM NOUN VERB ADP ADJ NOUN PUNCT SPACE NOUN ADP NUM VERB ADV NOUN SCONJ PART VERB ADV NOUN DET ADJ NOUN VERB PUNCT NOUN PROPN VERB DET ADJ NOUN ADP NOUN PUNCT ADJ ADP NOUN ADJ PUNCT ADJ PUNCT ADJ CCONJ ADV PUNCT SCONJ PRON VERB ADP PRON DET ADJ NOUN VERB PRON ADJ PUNCT ADV DET ADJ,0.043043043043043044,0.37949473684210455,180,999,0.4666666666666667,0.05346486621995423,1.789,3.251,2.649,3.649
"[ , Foreldrene, ble, skilt, etter, 12, års, ekteskap, ., De, hadde, en, sønn, på, snart, 12, år, ., I, forbindelse, med, opphøret, av, ekteskapet, var, partene, enige, om, at, de, skulle, ha, felles, foreldreansvar, og, at, sønnen, skulle, bo, hos, faren, ,, mens, moren, skulle, ha, vanlig, samværsrett, og, bidragsplikt, ., Denne, ordningen, hadde, vart, i, ca, to, og, et, halvt, år, ,, da, moren, reiste, sak, med, krav, om, at, sønnen, skulle, bo, hos, henne, ., Foreldrene, bodde, i, gangavstand, fra, hverandre, slik, at, sønnen, ville, kunne, fortsette, på, samme, skole, og, ha, de, samme, venner, ., Lagmannsretten, fant, med, støtte, i, den, oppnevnte, sakkyndige, at, det, beste, for, gutten, var, at, han, bodde, en, uke, hos, hver, av, foreldrene, ., Dette, var, også, i, overensstemmelse, med, guttens, eget, ønske, ,, noe, som, retten, tilla, betydelig, vekt, ., 
, Med, hensyn, til, lovanvendelsen, uttaler, lagmannsretten, :, 
, "", Etter, lagmannsrettens, syn, vil, den, beste, løsningen, for, C, være, delt, omsorgsansvar, hvor, han, bor, en, uke, hos, hver, av, foreldrene, slik, dette, har, vært, praktisert, siden, oktober, 1989., Bamelovens, §]",SPACE NOUN AUX VERB ADP NUM NOUN NOUN PUNCT PRON VERB DET NOUN ADP ADJ NUM NOUN PUNCT ADP NOUN ADP NOUN ADP NOUN AUX NOUN ADJ SCONJ SCONJ PRON AUX VERB ADJ NOUN CCONJ SCONJ NOUN AUX VERB ADP NOUN PUNCT SCONJ NOUN AUX VERB ADJ NOUN CCONJ NOUN PUNCT DET NOUN AUX VERB ADP ADV NUM CCONJ DET ADJ NOUN PUNCT SCONJ NOUN VERB NOUN ADP NOUN SCONJ SCONJ NOUN AUX VERB ADP PRON PUNCT NOUN VERB ADP NOUN ADP PRON ADV SCONJ NOUN AUX AUX VERB ADP DET NOUN CCONJ VERB DET DET NOUN PUNCT NOUN VERB ADP NOUN ADP DET VERB ADJ SCONJ DET ADJ ADP NOUN AUX SCONJ PRON VERB DET NOUN ADP DET ADP NOUN PUNCT PRON AUX ADV ADP NOUN ADP NOUN DET NOUN PUNCT PRON PRON NOUN VERB ADJ NOUN PUNCT SPACE ADP NOUN ADP NOUN VERB NOUN PUNCT SPACE PUNCT ADP NOUN NOUN AUX DET ADJ NOUN ADP PROPN AUX VERB NOUN ADV PRON VERB DET NOUN ADP DET ADP NOUN ADV PRON AUX AUX VERB ADP NOUN PUNCT NOUN NOUN,0.04437564499484004,0.36873913043478257,180,969,0.55,0.029167833069414496,1.753,3.378,2.609,3.584
"[ , Det, skjer, nå, raske, endringer, i, forbruksvarer, ,, i, industriens, og, landbrukets, produksjonsformer, ,, i, energikilder, og, -forbruk, ,, i, boligforhold, ., Disse, ,, og, andre, forhold, ,, påvirker, sammen, og, enkeltvis, folks, helsetilstand, i, betydelig, grad, ., Felles, for, disse, endringene, er, at, de, medfører, "", bivirkninger, "", som, altfor, sjelden, blir, belyst, ., Mange, avgjørelser, treffes, sektorvis, og, uten, noen, form, for, koordinering, ., Synspunkter, fra, sosial-, og, helsesektoren, får, sjelden, noen, vesentlig, plass, i, beslutningsgrunnlaget, ., 
, Det, er, viktig, at, befolkningen, i, de, nordiske, land, sikres, et, sunt, miljø, gjennom, samarbeid, på, tvers, av, sektorgrenser, ,, og, mellom, sentrale, ,, regionale, og, lokale, myndigheter, ., Det, er, også, nødvendig, å, støtte, internasjonalt, samarbeid, på, området, ., 
, Myndighetenes, informasjonsarbeid, må, bli, bedre, ., Innbyggernes, medvirkning, må, bli, større, på, områder, som, kan, true, deres, helse, ., Det, kan, dreie, seg, om, giftig, kjemisk, avfall, ,, strålingsfare, og, farlige, forbruksvarer, ,, men, også, om, vannforurensning, ,, matvarekvalitet, og, beskyttelse, mot, farlig, avfall, ., 
, Til, tross, for, en, omfattende, bolig]",SPACE PRON VERB ADV ADJ NOUN ADP NOUN PUNCT ADP NOUN CCONJ NOUN NOUN PUNCT ADP NOUN CCONJ NOUN PUNCT ADP NOUN PUNCT PRON PUNCT CCONJ DET NOUN PUNCT VERB ADV CCONJ ADV NOUN NOUN ADP ADJ NOUN PUNCT ADJ ADP DET NOUN AUX SCONJ PRON VERB PUNCT NOUN PUNCT PRON ADV ADV AUX VERB PUNCT ADJ NOUN VERB ADV CCONJ ADP DET NOUN ADP NOUN PUNCT NOUN ADP NOUN CCONJ NOUN VERB ADV DET ADJ NOUN ADP NOUN PUNCT SPACE PRON AUX ADJ SCONJ NOUN ADP DET ADJ NOUN VERB DET ADJ NOUN ADP NOUN ADP NOUN ADP NOUN PUNCT CCONJ ADP ADJ PUNCT ADJ CCONJ ADJ NOUN PUNCT PRON AUX ADV ADJ PART VERB ADJ NOUN ADP NOUN PUNCT SPACE NOUN NOUN AUX VERB ADJ PUNCT NOUN NOUN AUX VERB ADJ ADP NOUN PRON AUX VERB PRON NOUN PUNCT PRON AUX VERB PRON ADP ADJ ADJ NOUN PUNCT PROPN CCONJ ADJ NOUN PUNCT CCONJ ADV ADP NOUN PUNCT NOUN CCONJ NOUN ADP ADJ NOUN PUNCT SPACE ADP ADP ADP DET ADJ NOUN,0.03330161750713606,0.38147704590818265,174,1051,0.4425287356321839,0.024152087217314943,1.695,3.409,2.746,3.746
"[ , Selv, om, de, nye, rundturene, i, vesentlig, utstrekning, vil, gå, gjennom, jernbaneløse, distrikter, ,, kan, en, vel, forutsette, at, de, nordiske, jernbaner, vil, være, interessert, i, å, utvide, rundtursnettet, på, Nordkalotten, på, grunn, av, den, langdistansetrafikk, det, vil, medføre, fram, til, de, nordlige, endepunkter, ., En, har, inntrykk, av, at, de, fleste, nord-norske, bil-, og, båtruteselskapene, også, er, interessert, ., Hurtigruten, kan, tenkes, å, gi, moderasjoner, nord, for, Tromsø, ., 
, Det, foreslåes, opprettet, følgende, nye, nordiske, rundturer, :, 
, For, det, norske, og, svenske, marked, :, Tog, Oslo, —, Fauske, (, Bodø, ), —, Mosjøruten, til, Nordkapp, /, Honningsvåg, —, båt, til, Russenes, —, buss, til, Karasjok, og, videre, til, Rovaniemi, —, jernbane, Stockholm, —, Oslo, ., 
, For, det, svenske, marked, :, 
, Tromsø, —, hurtigrute, Nordkapp, /, Honningsvåg, —, båt, Russenes, —, buss, Karasjok, —, Rovaniemi, —, tog, Stockholm, ., 
, For, det, finske, marked, :, Tog, Helsink]",SPACE ADV SCONJ DET ADJ NOUN ADP ADJ NOUN AUX VERB ADP ADJ NOUN PUNCT AUX PRON ADV VERB SCONJ DET ADJ NOUN AUX AUX ADJ SCONJ PART VERB NOUN ADP PROPN ADP NOUN ADP DET NOUN PRON AUX VERB ADP ADP DET ADJ NOUN PUNCT PRON VERB NOUN SCONJ SCONJ DET ADJ ADJ NOUN CCONJ NOUN ADV AUX ADJ PUNCT NOUN AUX VERB PART VERB NOUN ADP ADP PROPN PUNCT SPACE PRON VERB VERB ADJ ADJ ADJ NOUN PUNCT SPACE ADP DET ADJ CCONJ ADJ NOUN PUNCT ADJ PROPN PUNCT PROPN PUNCT PROPN PUNCT PUNCT NOUN ADP PROPN PUNCT PROPN PUNCT NOUN ADP PROPN PUNCT NOUN ADP PROPN CCONJ ADJ ADP PROPN PUNCT NOUN PROPN PUNCT PROPN PUNCT SPACE ADP DET ADJ NOUN PUNCT SPACE PROPN PUNCT NOUN PROPN PUNCT PROPN PUNCT NOUN PROPN PUNCT NOUN PROPN PUNCT PROPN PUNCT NOUN PROPN PUNCT SPACE ADP DET ADJ NOUN PUNCT PROPN PROPN,0.0558858501783591,0.4061868686868686,152,841,0.3684210526315789,0.055747275777742904,1.715,3.455,2.602,3.602
